okrug,zone_index,name,id
ЮЗАО,101,Академический,102
СВАО,50,Алексеевский,51
СВАО,50,Алтуфьевский,52
ЦАО,77,Арбат,78
СВАО,50,Бабушкинский,53
САО,33,Беговой,35
САО,33,Бескудниковский,36
СВАО,50,Бибирево,54
ЮАО,114,Бирюлево Восточное,115
ЮАО,114,Бирюлево Западное,116
ВАО,1,Богородское,2
ЮАО,114,Братеево,117
СВАО,50,Бутырский,55
ЗАО,19,Внуково,20
САО,33,Войковский,37
САО,33,Восточное Дегунино,38
ВАО,1,Восточное Измайлово,4
ВАО,1,Восточный,6
ЮЗАО,101,Гагаринский,103
ВАО,1,Гольяново,7
ЮАО,114,Даниловский,118
САО,33,Дмитровский,40
ЮАО,114,Донской,119
ЦАО,77,Замоскворечье,80
САО,33,Западное Дегунино,41
ЮЗАО,101,Зюзино,104
ЮАО,114,Зябликово,120
ВАО,1,Ивановское,8
ВАО,1,Измайлово,9
ЮВАО,88,Капотня,90
ЮЗАО,101,Коньково,105
САО,33,Коптево,42
ВАО,1,Косино-Ухтомский,10
ЮЗАО,101,Котловка,106
ЦАО,77,Красносельский,81
ЗАО,19,Крылатское,22
ЗелАО,131,Крюково,132
ЗАО,19,Кунцево,23
СЗАО,68,Куркино,69
САО,33,Левобережный,43
ЮВАО,88,Лефортово,92
СВАО,50,Лианозово,56
ЮЗАО,101,Ломоносовский,107
СВАО,50,Лосиноостровский,57
ЮВАО,88,Люблино,93
СВАО,50,Марфино,58
СВАО,50,Марьина Роща,59
ЮВАО,88,Марьино,94
ЗелАО,131,Матушкино,133
ВАО,1,Метрогородок,11
ЦАО,77,Мещанский,82
СЗАО,68,Митино,70
ЗАО,19,Можайский,24
САО,33,Молжаниновский,44
ЮАО,114,Москворечье-Сабурово,121
ЮАО,114,Нагатино-Садовники,122
ЮАО,114,Нагатинский Затон,123
ЮАО,114,Нагорный,124
ЮВАО,88,Некрасовка,95
ЮВАО,88,Нижегородский,96
ЗАО,19,Ново-Переделкино,25
ВАО,1,Новогиреево,12
ВАО,1,Новокосино,13
ЮЗАО,101,Обручевский,108
ЮАО,114,Орехово-Борисово Северное,125
ЮАО,114,Орехово-Борисово Южное,126
СВАО,50,Останкинский,60
СВАО,50,Отрадное,61
ЗАО,19,Очаково-Матвеевское,26
ВАО,1,Перово,14
ЮВАО,88,Печатники,97
СЗАО,68,Покровское-Стрешнево,71
ВАО,1,Преображенское,15
ЦАО,77,Пресненский,83
ЗАО,19,Проспект Вернадского,27
ЗАО,19,Раменки,28
СВАО,50,Ростокино,62
САО,33,Савеловский,45
СВАО,50,Свиблово,63
ЮЗАО,101,Северное Бутово,109
СВАО,50,Северное Медведково,64
СЗАО,68,Северное Тушино,72
СВАО,50,Северный,65
ЗелАО,131,Силино,135
САО,33,Сокол,46
ВАО,1,Сокольники,18
ЗАО,19,Солнцево,29
СЗАО,68,Строгино,73
ЦАО,77,Таганский,84
ЦАО,77,Тверской,85
ЮЗАО,101,Теплый Стан,110
САО,33,Тимирязевский,47
ЗАО,19,Тропарево-Никулино,30
ЗАО,19,Филевский Парк,31
ЗАО,19,Фили-Давыдково,32
ЦАО,77,Хамовники,86
САО,33,Ховрино,48
САО,33,Хорошевский,49
ЮАО,114,Царицыно,127
ЮЗАО,101,Черемушки,111
ЮАО,114,Чертаново Северное,128
ЮАО,114,Чертаново Центральное,129
ЮАО,114,Чертаново Южное,130
СЗАО,68,Щукино,75
ЮЗАО,101,Южное Бутово,112
СВАО,50,Южное Медведково,66
СЗАО,68,Южное Тушино,76
ЮВАО,88,Южнопортовый,100
ЦАО,77,Якиманка,87
СВАО,50,Ярославский,67
ЮЗАО,101,Ясенево,113
ЗАО,19,Дорогомилово,21
ЗАО,19,Филевский парк,31
САО,33,Аэропорт,34
САО,33,Головинский,39
ЮВАО,88,Рязанский,98
ВАО,1,Вешняки,3
СВАО,50,Марьина роща,59
СЗАО,68,Хорошево-Мневники,74
ЮАО,114,Нагатинский затон,123
ЗелАО,131,Савелки,134
